,index,gene_name,p_raw,p_bonferroni,mean_log1p,mean_norm
196,L6_IT_Car3,Tmem163,0.0,0.0,1.605682279375566,1590.7688374967863
197,L6_IT_Car3,Oprk1,0.0,0.0,0.9968325697533312,609.3909235460842
198,L6_IT_Car3,Ntng2,0.0,0.0,4.471516876492884,5156.324102700621
199,L6_IT_Car3,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
200,L6_IT_Car3,Nr2f2,0.0,0.0,1.627836153771201,2354.9629339800695
201,L6_IT_Car3,Grm1,0.0,0.0,4.049070711040447,4475.494891107707
202,L6_IT_Car3,Grin3a,0.0,0.0,2.965906905498022,4050.674082383162
203,L6_IT_Car3,Unc5d,0.0,0.0,4.232193978158815,6891.727999122967
204,L6_IT_Car3,Cux2,0.0,0.0,4.833969516602062,13844.015772787347
205,L6_IT_Car3,Col25a1,0.0,0.0,3.952292335006102,4292.697210734133
206,L6_IT_Car3,Cdh13,0.0,0.0,4.070672935236216,7835.282742068294
207,L6_IT_Car3,Nr4a2,0.0,0.0,1.5772904174898479,1801.3329442386055
208,L6_IT_Car3,Wipf3,1.6876243049423314e-288,2.143282867276761e-286,7.091402494733177,28773.638538092193
209,L6_IT_Car3,Shisa9,1.2874325606697688e-274,1.6350393520506066e-272,5.8917551769122705,9289.695942429238
210,L6_IT_Car3,Luzp2,1.5623908755575542e-257,1.9842364119580938e-255,5.541324967696128,8244.518101732327
211,L6_IT_Car3,Vip,8.322776085585379e-246,1.0569925628693432e-243,7.769146904840319,2975.5534469317986
212,L6_IT_Car3,Calb1,3.6744437577101786e-133,4.666543572291927e-131,6.653187229685868,1952.531619160088
213,L6_IT_Car3,Penk,1.864867328464792e-104,2.3683815071502858e-102,6.170282774826138,1135.986996490147
214,L6_IT_Car3,Tac2,1.4511001057029031e-99,1.8428971342426869e-97,6.684355474796022,1421.6704737200985
215,L6_IT_Car3,Pou3f3,2.6441081104902464e-98,3.3580173003226128e-96,8.140773456901536,22706.056324804278
216,L6_IT_Car3,Pvalb,6.909644315417655e-78,8.775248280580422e-76,6.756693069771963,1748.4185394562287
217,L6_IT_Car3,Gad2,5.506525147578457e-63,6.99328693742464e-61,8.11323845882878,4278.066672777633
218,L6b,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
219,L6b,Trp53i11,0.0,0.0,4.336927316315007,9184.42777639549
220,L6b,Tmem163,0.0,0.0,1.605682279375566,1590.7688374967863
221,L6b,Tenm3,0.0,0.0,5.620546275838911,10128.173393414283
222,L6b,Tac2,0.0,0.0,6.684355474796022,1421.6704737200985
223,L6b,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
224,L6b,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
225,L6b,Shisa9,0.0,0.0,5.8917551769122705,9289.695942429238
226,L6b,Sema5a,0.0,0.0,2.883458925211845,6076.501055153046
227,L6b,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
228,L6b,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
229,L6b,Vip,0.0,0.0,7.769146904840319,2975.5534469317986
230,L6b,Prss12,0.0,0.0,3.6020674957985,4335.82904327861
231,L6b,Nxph4,0.0,0.0,0.6468152154043368,744.7112854959946
232,L6b,Kcng1,0.0,0.0,3.0020933600482635,4324.6339582515975
233,L6b,Igfbp5,0.0,0.0,7.364940309429239,24251.72331341935
234,L6b,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
235,L6b,Epha7,0.0,0.0,5.164673535487128,6529.231694724461
236,L6b,Dscaml1,0.0,0.0,4.996016097354123,8055.4340551160585
237,L6b,Cplx3,0.0,0.0,1.1904631370920495,1666.127475124173
238,L6b,Cdh13,0.0,0.0,4.070672935236216,7835.282742068294
239,L6b,Camk2d,0.0,0.0,5.749795158462924,11880.690225730581
