"","x"
"SM-D9D6R_S11_E1-50",6
"SM-D9D6R_S12_E1-50",22
"SM-D9D6R_S13_E1-50",46
"SM-D9D6R_S14_E1-50",48
"SM-D9D6R_S15_E1-50",47
"SM-D9D6R_S16_E1-50",48
"SM-D9D6R_S25_E1-50",47
"SM-D9D6R_S26_E1-50",48
"SM-D9D6R_S27_E1-50",13
"SM-D9D6R_S28_E1-50",42
"SM-D9D6R_S29_E1-50",48
"SM-D9D6R_S30_E1-50",46
"SM-D9D6R_S31_E1-50",48
"SM-D9D6R_S32_E1-50",48
"SM-D9D6R_S33_E1-50",42
"SM-D9D6R_S34_E1-50",4
"SM-D9D6R_S35_E1-50",48
"SM-D9D6R_S36_E1-50",52
"SM-D9D6R_S37_E1-50",40
"SM-D9D6R_S38_E1-50",16
"SM-D9D6R_S39_E1-50",41
"SM-D9D7B_S01_E1-50",34
"SM-D9D7B_S02_E1-50",9
"SM-D9D7B_S03_E1-50",33
"SM-D9D7B_S04_E1-50",45
"SM-D9D7B_S06_E1-50",34
"SM-D9D7B_S07_E1-50",33
"SM-D9D7B_S08_E1-50",37
"SM-D9D7B_S09_E1-50",37
"SM-D9D7B_S10_E1-50",34
"SM-D9D7B_S11_E1-50",37
"SM-D9D7B_S12_E1-50",4
"SM-D9D7B_S14_E1-50",33
"SM-D9D7B_S15_E1-50",35
"SM-D9D7B_S16_E1-50",50
"SM-D9D7G_S01_E1-50",33
"SM-D9D7G_S02_E1-50",34
"SM-D9D7G_S03_E1-50",37
"SM-D9D7G_S04_E1-50",34
"SM-D9D7G_S05_E1-50",33
"SM-D9D7G_S06_E1-50",34
"SM-D9D7G_S07_E1-50",34
"SM-D9D7G_S08_E1-50",37
"SM-D9D7G_S09_E1-50",33
"SM-D9D7G_S10_E1-50",33
"SM-D9D7G_S11_E1-50",33
"SM-D9D7G_S12_E1-50",34
"SM-D9D7G_S13_E1-50",16
"SM-D9D7G_S14_E1-50",33
"SM-D9D7G_S15_E1-50",33
"SM-D9D7G_S16_E1-50",33
"SM-D9D7Q_S17_E1-50",33
"SM-D9D7Q_S18_E1-50",33
"SM-D9D7Q_S19_E1-50",33
"SM-D9D7Q_S20_E1-50",33
"SM-D9D7Q_S21_E1-50",33
"SM-D9D7Q_S22_E1-50",33
"SM-D9D7Q_S23_E1-50",33
"SM-D9D7Q_S24_E1-50",34
"SM-D9D7Q_S25_E1-50",34
"SM-D9D7Q_S26_E1-50",37
"SM-D9D7Q_S27_E1-50",45
"SM-D9D7Q_S28_E1-50",39
"SM-D9D7Q_S29_E1-50",33
"SM-D9D7Q_S30_E1-50",33
"SM-D9D7Q_S31_E1-50",33
"SM-D9D7Q_S32_E1-50",34
"SM-D9D7V_S01_E1-50",31
"SM-D9D7V_S02_E1-50",33
"SM-D9D7V_S03_E1-50",4
"SM-D9D7V_S04_E1-50",30
"SM-D9D7V_S05_E1-50",30
"SM-D9D7V_S06_E1-50",30
"SM-D9D7V_S07_E1-50",33
"SM-D9D7V_S08_E1-50",31
"SM-D9D7V_S09_E1-50",11
"SM-D9D7V_S10_E1-50",31
"SM-D9D7V_S11_E1-50",10
"SM-D9D7V_S12_E1-50",31
"SM-D9D7V_S13_E1-50",33
"SM-D9D7V_S14_E1-50",31
"SM-D9D7V_S15_E1-50",31
"SM-D9D7V_S16_E1-50",33
"SM-D9D7V_S17_E1-50",31
"SM-D9D7V_S18_E1-50",33
"SM-D9D7V_S19_E1-50",30
"SM-D9D7V_S20_E1-50",34
"SM-D9D7V_S21_E1-50",33
"SM-D9D7V_S22_E1-50",33
"SM-D9D7V_S23_E1-50",34
"SM-D9D7V_S24_E1-50",32
"SM-D9D7V_S25_E1-50",42
"SM-D9D7V_S26_E1-50",48
"SM-D9D7V_S27_E1-50",42
"SM-D9D7V_S29_E1-50",48
"SM-D9D7V_S30_E1-50",4
"SM-D9D7V_S31_E1-50",48
"SM-D9D7V_S32_E1-50",49
"SM-D9D7V_S33_E1-50",48
"SM-D9D7V_S36_E1-50",48
"SM-D9D7V_S37_E1-50",41
"SM-D9D7V_S38_E1-50",48
"SM-D9D7V_S39_E1-50",46
"SM-D9D7V_S40_E1-50",48
"SM-D9D7V_S41_E1-50",42
"SM-D9D7V_S42_E1-50",42
"SM-D9D7V_S44_E1-50",48
"SM-D9D7V_S45_E1-50",42
"SM-D9D7V_S46_E1-50",48
"SM-D9D7V_S47_E1-50",48
"SM-D9D7V_S48_E1-50",48
"SM-D9D7V_S57_E1-50",48
"SM-D9D7V_S58_E1-50",48
"SM-D9D7V_S59_E1-50",48
"SM-D9D7V_S60_E1-50",49
"SM-D9D7V_S61_E1-50",48
"SM-D9D7V_S62_E1-50",48
"SM-D9D7V_S63_E1-50",48
"SM-D9D7V_S64_E1-50",48
"SM-D9D7V_S65_E1-50",48
"SM-D9D7V_S66_E1-50",42
"SM-D9D7V_S67_E1-50",42
"SM-D9D7V_S68_E1-50",48
"SM-D9D7V_S69_E1-50",40
"SM-D9D7V_S70_E1-50",48
"SM-D9D7V_S71_E1-50",46
"SM-D9D7V_S72_E1-50",42
"SM-D9D7W_S01_E1-50",4
"SM-D9D7W_S02_E1-50",48
"SM-D9D7W_S03_E1-50",41
"SM-D9D7W_S04_E1-50",4
"SM-D9D7W_S05_E1-50",42
"SM-D9D7W_S06_E1-50",48
"SM-D9D7W_S08_E1-50",50
"SM-D9D7W_S09_E1-50",46
"SM-D9D7W_S10_E1-50",48
"SM-D9D7W_S11_E1-50",42
"SM-D9D7W_S12_E1-50",42
"SM-D9D7W_S13_E1-50",48
"SM-D9D7W_S14_E1-50",48
"SM-D9D7W_S15_E1-50",48
"SM-D9D7W_S16_E1-50",48
"SM-D9D7W_S17_E1-50",42
"SM-D9D7W_S18_E1-50",42
"SM-D9D7W_S19_E1-50",46
"SM-D9D7W_S20_E1-50",6
"SM-D9D7W_S22_E1-50",48
"SM-D9D7W_S23_E1-50",47
"SM-D9D7W_S24_E1-50",42
"SM-D9D7W_S41_E1-50",42
"SM-D9D7W_S42_E1-50",42
"SM-D9D7W_S43_E1-50",46
"SM-D9D7W_S45_E1-50",48
"SM-D9D7W_S46_E1-50",42
"SM-D9D7W_S47_E1-50",42
"SM-D9D7W_S48_E1-50",48
"SM-D9D7W_S49_E1-50",48
"SM-D9D7W_S50_E1-50",42
"SM-D9D7W_S51_E1-50",48
"SM-D9D7W_S52_E1-50",48
"SM-D9D7W_S53_E1-50",41
"SM-D9D7W_S54_E1-50",48
"SM-D9D7W_S55_E1-50",50
"SM-D9D7W_S56_E1-50",42
"SM-D9D7W_S65_E1-50",48
"SM-D9D7W_S66_E1-50",42
"SM-D9D7W_S67_E1-50",42
"SM-D9D7W_S68_E1-50",46
"SM-D9D7W_S69_E1-50",42
"SM-D9D7W_S70_E1-50",48
"SM-D9D7W_S71_E1-50",42
"SM-D9D7W_S72_E1-50",41
"SM-D9D7W_S73_E1-50",31
"SM-D9D7W_S74_E1-50",31
"SM-D9D7W_S75_E1-50",30
"SM-D9D7W_S76_E1-50",31
"SM-D9D7W_S77_E1-50",30
"SM-D9D7W_S78_E1-50",30
"SM-D9D7W_S79_E1-50",30
"SM-D9D7W_S80_E1-50",31
"SM-D9D7W_S81_E1-50",32
"SM-D9D7W_S82_E1-50",32
"SM-D9D7W_S83_E1-50",31
"SM-D9D7W_S84_E1-50",32
"SM-D9D7W_S85_E1-50",30
"SM-D9D7W_S86_E1-50",30
"SM-D9D7W_S87_E1-50",31
"SM-D9D7W_S88_E1-50",36
"SM-D9D7W_S89_E1-50",31
"SM-D9D7W_S90_E1-50",30
"SM-D9D7W_S91_E1-50",30
"SM-D9D7W_S92_E1-50",30
"SM-D9D7W_S93_E1-50",31
"SM-D9D7W_S94_E1-50",30
"SM-D9D7W_S95_E1-50",31
"SM-D9D7W_S96_E1-50",32
"SM-D9D7X_S41_E1-50",50
"SM-D9D7X_S42_E1-50",42
"SM-D9D7X_S44_E1-50",42
"SM-D9D7X_S45_E1-50",42
"SM-D9D7X_S46_E1-50",50
"SM-D9D7X_S47_E1-50",48
"SM-D9D7X_S48_E1-50",48
"SM-D9D7X_S49_E1-50",49
"SM-D9D7X_S50_E1-50",50
"SM-D9D7X_S51_E1-50",42
"SM-D9D7X_S52_E1-50",42
"SM-D9D7X_S53_E1-50",48
"SM-D9D7X_S54_E1-50",48
"SM-D9D7X_S55_E1-50",46
"SM-D9D7X_S57_E1-50",42
"SM-D9D7X_S59_E1-50",48
"SM-D9D7X_S60_E1-50",48
"SM-D9D7X_S61_E1-50",48
"SM-D9D7X_S62_E1-50",48
"SM-D9D7X_S63_E1-50",40
"SM-D9D7X_S73_E1-50",30
"SM-D9D7X_S74_E1-50",31
"SM-D9D7X_S75_E1-50",31
"SM-D9D7X_S76_E1-50",33
"SM-D9D7X_S77_E1-50",30
"SM-D9D7X_S78_E1-50",31
"SM-D9D7X_S79_E1-50",31
"SM-D9D7X_S80_E1-50",30
"SM-D9D7X_S81_E1-50",31
"SM-D9D7X_S82_E1-50",30
"SM-D9D7X_S83_E1-50",30
